gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,product,purchase
M,69,single,highsch,0,retired,21,38,22313,no,0,tenant,10,bonds,no
F,35,single,highsch,0,full_time,1,11,47813,no,0,tenant,5,bonds,yes
F,23,married,univ,1,full_time,2,4,53125,yes,36266,tenant,3,derivatives,yes
M,48,married,highsch,1,part_time,11,11,28688,no,0,owner,13,stocks,no
F,30,single,postgrad,0,full_time,4,9,127500,no,0,owner_morg,14,derivatives,no
M,47,single,univ,0,full_time,5,15,79688,no,0,tenant,1,derivatives,yes
M,55,widowed,highsch,1,full_time,16,16,55781,no,0,tenant,10,bonds,yes
M,55,divorced,univ,2,full_time,0,5,92969,no,0,tenant,9,stocks,no
M,24,divorced,highsch,0,self_employ,2,3,38250,no,0,owner,3,derivatives,yes
F,39,divorced,highsch,0,self_employ,7,14,57375,no,0,tenant,14,derivatives,no
F,63,married,highsch,2,part_time,5,28,33469,yes,36826,owner,11,derivatives,yes
M,33,divorced,basic,0,part_time,7,11,19125,no,0,owner,11,stocks,no
M,24,divorced,highsch,1,full_time,0,5,31875,no,0,tenant,8,bonds,yes
F,51,married,univ,1,part_time,4,22,55781,yes,31633,tenant,2,stocks,no
F,25,divorced,basic,3,part_time,4,4,12750,no,0,tenant,8,derivatives,no
F,26,divorced,univ,2,unemployed,0,6,0,no,0,tenant,2,stocks,no
M,32,single,basic,0,part_time,4,10,19125,no,0,tenant,3,derivatives,yes
M,48,divorced,postgrad,1,full_time,15,18,127500,no,0,tenant,5,stocks,no
F,33,single,highsch,0,unemployed,0,11,0,no,0,tenant,3,bonds,yes
M,43,single,univ,0,full_time,2,16,79688,no,0,tenant,1,derivatives,yes
M,33,married,basic,3,self_employ,2,11,38250,yes,39966,tenant,7,derivatives,no
F,28,married,highsch,0,unemployed,0,6,0,yes,54097,tenant,7,derivatives,no
M,27,married,highsch,0,unemployed,0,2,0,yes,28352,owner_morg,1,bonds,no
F,41,divorced,univ,1,self_employ,3,10,95625,no,0,owner_morg,10,stocks,no
F,31,single,highsch,0,unemployed,0,10,0,no,0,tenant,13,derivatives,no
M,28,divorced,univ,3,full_time,3,6,53125,no,0,owner,6,derivatives,yes
M,22,single,highsch,0,full_time,1,1,31875,no,0,owner_morg,5,derivatives,yes
M,29,married,postgrad,3,unemployed,0,6,0,yes,18842,owner,2,derivatives,no
M,35,divorced,univ,2,full_time,5,11,79688,no,0,owner,15,stocks,no
F,34,married,highsch,1,part_time,7,7,28688,yes,38209,owner,5,stocks,no
F,29,widowed,univ,1,unemployed,0,3,0,no,0,owner_morg,6,stocks,yes
F,69,divorced,highsch,2,self_employ,3,35,66938,no,0,tenant,14,bonds,no
F,34,single,postgrad,0,full_time,5,8,127500,no,0,tenant,11,derivatives,no
F,60,divorced,univ,2,self_employ,17,30,111563,no,0,owner,1,bonds,yes
M,31,married,univ,0,unemployed,0,6,0,no,0,tenant,12,derivatives,yes
M,21,single,basic,0,full_time,0,1,21250,no,0,w_parents,5,stocks,yes
F,47,widowed,basic,1,part_time,7,10,19125,no,0,tenant,3,bonds,yes
M,68,single,basic,0,unemployed,0,0,0,no,0,tenant,7,bonds,no
F,57,single,highsch,0,self_employ,17,18,66938,no,0,owner_morg,2,bonds,no
F,45,single,univ,0,full_time,10,21,79688,no,0,tenant,6,stocks,no
F,23,widowed,highsch,0,part_time,0,1,19125,no,0,tenant,3,stocks,yes
M,21,married,highsch,1,unemployed,0,0,0,yes,12464,owner,5,bonds,yes
M,24,divorced,highsch,1,unemployed,0,5,0,no,0,tenant,6,stocks,yes
M,23,widowed,highsch,0,part_time,1,3,19125,no,0,tenant,8,bonds,no
M,49,married,basic,0,full_time,12,23,31875,yes,56615,tenant,12,derivatives,yes
F,32,married,univ,0,self_employ,6,7,95625,yes,33872,owner,15,bonds,yes
M,36,divorced,highsch,0,unemployed,0,4,0,no,0,tenant,2,derivatives,yes
F,34,divorced,postgrad,0,full_time,7,10,127500,no,0,owner,14,stocks,no
M,49,married,postgrad,0,full_time,11,11,127500,yes,77922,owner_morg,5,stocks,no
M,52,divorced,highsch,2,unemployed,0,27,0,no,0,owner,10,stocks,no
M,31,widowed,basic,0,full_time,7,9,31875,no,0,owner,3,derivatives,yes
F,22,single,univ,0,self_employ,2,3,63750,no,0,tenant,7,derivatives,no
F,51,single,univ,0,full_time,10,25,92969,no,0,owner,8,stocks,no
M,21,married,highsch,0,unemployed,0,2,0,yes,59812,tenant,7,stocks,yes
F,46,married,highsch,0,self_employ,2,10,57375,yes,47383,owner,9,derivatives,no
M,40,single,univ,0,part_time,1,18,47813,no,0,tenant,8,stocks,no
F,36,widowed,highsch,0,unemployed,0,4,0,no,0,tenant,1,stocks,no
F,46,single,basic,0,full_time,11,18,31875,no,0,owner_morg,1,bonds,yes
M,29,single,basic,0,self_employ,2,4,25500,no,0,owner,4,stocks,no
F,31,married,univ,1,unemployed,0,1,0,yes,8927,tenant,9,derivatives,yes
F,25,married,univ,2,full_time,3,3,53125,no,0,tenant,5,stocks,yes
F,23,single,univ,0,self_employ,0,2,63750,no,0,tenant,5,derivatives,no
F,30,divorced,highsch,0,unemployed,0,6,0,no,0,tenant,14,derivatives,no
F,38,divorced,postgrad,2,full_time,6,16,127500,no,0,owner_morg,7,bonds,yes
F,38,married,highsch,0,part_time,7,10,28688,yes,35046,owner_morg,3,stocks,no
M,30,divorced,basic,3,part_time,5,9,19125,no,0,owner_morg,5,stocks,no
M,34,single,univ,0,full_time,1,10,79688,no,0,tenant,3,bonds,no
M,23,single,basic,0,self_employ,1,1,25500,no,0,tenant,7,stocks,yes
M,33,married,postgrad,0,unemployed,0,6,0,yes,59509,tenant,9,bonds,no
M,30,married,highsch,2,self_employ,0,2,57375,yes,30735,owner,14,stocks,no
F,33,married,univ,3,part_time,4,5,47813,yes,56311,owner_morg,8,derivatives,yes
F,52,single,basic,0,part_time,4,7,22313,no,0,owner,8,stocks,no
M,23,widowed,univ,1,part_time,1,2,31875,no,0,tenant,8,derivatives,yes
M,52,divorced,basic,2,unemployed,0,3,0,no,0,tenant,5,stocks,no
M,41,single,basic,0,full_time,5,12,31875,no,0,owner,12,stocks,no
M,46,single,univ,0,unemployed,0,5,0,no,0,owner_morg,4,bonds,no
M,27,married,univ,3,part_time,4,4,31875,yes,36898,tenant,7,stocks,yes
M,24,divorced,univ,0,part_time,1,3,31875,no,0,owner_morg,5,stocks,yes
F,61,widowed,basic,0,full_time,16,27,37188,no,0,owner,6,stocks,no
F,41,widowed,postgrad,0,full_time,1,6,127500,no,0,owner_morg,6,bonds,yes
F,59,married,postgrad,2,part_time,4,10,89250,no,0,owner_morg,10,bonds,yes
F,28,divorced,highsch,3,full_time,4,6,31875,no,0,tenant,8,stocks,no
M,20,married,basic,0,full_time,0,0,21250,no,0,tenant,3,derivatives,yes
F,21,single,basic,0,part_time,2,2,12750,no,0,w_parents,6,stocks,yes
F,73,single,postgrad,0,retired,28,34,59500,no,0,tenant,6,derivatives,no
M,41,single,highsch,0,part_time,9,18,28688,no,0,tenant,13,stocks,no
F,69,single,highsch,0,retired,19,39,22313,no,0,owner,11,bonds,yes
F,20,single,highsch,0,part_time,0,1,19125,no,0,w_parents,3,derivatives,no
F,24,divorced,basic,1,full_time,2,4,21250,no,0,owner,6,stocks,yes
F,21,divorced,highsch,1,full_time,2,2,31875,no,0,tenant,3,stocks,yes
F,44,divorced,univ,1,full_time,8,9,79688,no,0,tenant,11,stocks,no
F,33,widowed,highsch,2,unemployed,0,1,0,no,0,tenant,9,derivatives,no
F,66,single,univ,0,retired,7,22,37188,no,0,tenant,3,bonds,yes
F,33,widowed,univ,3,full_time,8,10,79688,no,0,tenant,8,bonds,yes
F,44,single,highsch,0,unemployed,0,1,0,no,0,tenant,5,bonds,yes
F,29,divorced,highsch,2,part_time,2,8,19125,no,0,tenant,3,stocks,yes
F,48,divorced,highsch,0,self_employ,10,12,57375,no,0,tenant,3,derivatives,no
M,35,divorced,highsch,0,unemployed,0,8,0,no,0,tenant,11,derivatives,yes
F,22,divorced,highsch,0,full_time,1,2,31875,no,0,owner,7,stocks,yes
M,29,married,postgrad,2,part_time,0,1,51000,yes,31867,owner,1,derivatives,yes
F,34,divorced,univ,0,full_time,6,8,79688,no,0,tenant,9,derivatives,no
M,29,single,basic,0,full_time,4,6,21250,no,0,owner,5,derivatives,yes
M,37,divorced,highsch,2,unemployed,0,10,0,no,0,owner,13,derivatives,yes
M,28,single,highsch,0,full_time,4,5,31875,no,0,owner,9,derivatives,yes
F,39,single,highsch,0,part_time,2,15,28688,no,0,owner_morg,14,bonds,yes
M,28,married,univ,2,unemployed,0,1,0,yes,47043,tenant,8,derivatives,yes
F,24,single,univ,0,part_time,2,2,31875,no,0,tenant,3,bonds,yes
F,36,single,postgrad,0,full_time,2,6,127500,no,0,owner,2,bonds,yes
F,27,single,highsch,0,part_time,3,6,19125,no,0,owner_morg,10,derivatives,no
M,30,single,basic,0,self_employ,5,5,38250,no,0,owner_morg,5,bonds,no
F,42,widowed,highsch,2,part_time,3,16,28688,no,0,tenant,15,stocks,no
M,32,single,postgrad,0,full_time,5,7,127500,no,0,tenant,7,bonds,no
F,22,single,highsch,0,full_time,0,0,31875,no,0,owner_morg,3,derivatives,no
F,45,married,univ,0,full_time,7,7,79688,yes,54600,owner_morg,13,bonds,yes
M,22,widowed,highsch,1,self_employ,2,3,38250,no,0,owner_morg,3,stocks,yes
F,58,divorced,highsch,0,full_time,5,6,55781,no,0,tenant,10,stocks,no
M,24,divorced,highsch,1,full_time,1,5,31875,no,0,owner_morg,6,derivatives,yes
F,30,married,univ,2,self_employ,6,7,95625,yes,40690,owner_morg,14,stocks,no
M,59,single,basic,0,self_employ,3,19,44625,no,0,tenant,1,stocks,no
M,48,divorced,basic,1,part_time,11,20,19125,no,0,tenant,3,bonds,yes
M,24,married,univ,0,self_employ,0,5,63750,yes,51727,owner,5,derivatives,yes
F,29,single,univ,0,full_time,1,6,53125,no,0,tenant,5,derivatives,no
M,58,single,univ,0,full_time,11,26,92969,no,0,owner,6,derivatives,yes
F,22,single,univ,0,part_time,0,0,31875,no,0,owner_morg,3,bonds,no
F,35,married,highsch,0,self_employ,1,9,57375,yes,27515,owner_morg,6,derivatives,no
F,37,divorced,univ,2,part_time,8,10,47813,no,0,tenant,1,stocks,no
M,31,single,highsch,0,unemployed,0,10,0,no,0,tenant,12,stocks,no
M,24,single,univ,0,self_employ,3,5,63750,no,0,tenant,7,derivatives,yes
M,28,divorced,highsch,3,full_time,1,1,31875,no,0,owner,10,bonds,yes
F,47,married,highsch,0,full_time,6,6,47813,no,0,tenant,14,bonds,yes
F,25,married,highsch,1,unemployed,0,1,0,yes,21426,tenant,1,derivatives,no
M,36,married,univ,1,unemployed,0,9,0,no,0,owner,12,derivatives,yes
M,23,single,univ,0,unemployed,0,3,0,no,0,tenant,7,bonds,no
M,44,married,univ,1,unemployed,0,12,0,yes,22823,tenant,15,stocks,no
F,51,widowed,basic,2,unemployed,0,2,0,no,0,owner,12,stocks,no
M,35,divorced,highsch,1,self_employ,9,9,57375,no,0,tenant,10,bonds,yes
M,29,widowed,basic,1,unemployed,0,9,0,no,0,tenant,4,stocks,yes
F,29,divorced,highsch,0,self_employ,4,4,38250,no,0,tenant,10,stocks,yes
M,66,widowed,highsch,2,retired,23,29,22313,no,0,tenant,11,bonds,yes
M,68,divorced,postgrad,2,self_employ,1,26,178500,no,0,owner_morg,10,bonds,yes
F,36,divorced,postgrad,2,full_time,9,9,127500,no,0,tenant,1,derivatives,no
M,31,single,univ,0,full_time,1,3,79688,no,0,owner,6,derivatives,no
F,41,married,highsch,2,unemployed,0,17,0,yes,37784,owner_morg,12,stocks,no
F,25,married,basic,2,full_time,3,3,21250,yes,39384,owner,5,bonds,no
M,51,married,basic,1,full_time,14,14,37188,yes,38173,tenant,15,bonds,yes
F,75,single,postgrad,0,unemployed,0,42,0,no,0,owner_morg,1,bonds,yes
M,29,divorced,postgrad,1,full_time,2,5,85000,no,0,tenant,9,bonds,yes
F,33,single,univ,0,part_time,5,9,47813,no,0,tenant,10,stocks,no
M,56,divorced,univ,3,full_time,1,30,92969,no,0,tenant,1,stocks,no
M,24,single,basic,0,part_time,2,4,12750,no,0,tenant,6,stocks,yes
M,24,married,basic,1,self_employ,0,3,25500,yes,45898,owner,6,stocks,yes
M,22,widowed,highsch,0,full_time,2,2,31875,no,0,owner_morg,8,stocks,yes
M,39,married,highsch,1,full_time,1,14,47813,yes,52727,owner,12,stocks,no
M,43,single,univ,0,self_employ,8,19,95625,no,0,owner,7,derivatives,no
F,37,married,univ,1,full_time,3,6,79688,yes,33129,owner_morg,15,derivatives,yes
M,48,married,univ,1,full_time,15,17,79688,yes,76174,tenant,8,bonds,yes
F,24,widowed,highsch,1,full_time,0,2,31875,no,0,tenant,8,bonds,no
F,22,divorced,highsch,0,unemployed,0,3,0,no,0,tenant,8,derivatives,no
M,26,married,basic,2,self_employ,2,5,25500,yes,31175,tenant,4,stocks,yes
F,43,single,postgrad,0,full_time,3,10,127500,no,0,tenant,1,bonds,yes
F,55,married,univ,1,unemployed,0,26,0,yes,24898,owner_morg,6,derivatives,no
M,23,single,univ,0,self_employ,2,2,63750,no,0,owner,8,stocks,yes
F,28,single,highsch,0,part_time,2,6,19125,no,0,tenant,5,bonds,yes
M,20,single,highsch,0,part_time,1,1,19125,no,0,w_parents,4,derivatives,yes
F,29,divorced,basic,3,part_time,0,8,12750,no,0,tenant,8,bonds,yes
F,56,single,univ,0,full_time,8,22,92969,no,0,owner_morg,15,derivatives,no
F,39,single,highsch,0,self_employ,10,13,57375,no,0,owner_morg,2,derivatives,no
M,40,divorced,univ,0,full_time,5,5,79688,no,0,tenant,6,derivatives,yes
M,45,married,basic,0,self_employ,0,14,38250,yes,47522,tenant,11,derivatives,yes
M,26,married,univ,0,unemployed,0,4,0,no,0,tenant,10,bonds,no
M,29,married,univ,0,full_time,1,3,53125,yes,30663,owner,1,stocks,yes
F,49,married,univ,3,part_time,9,11,47813,yes,55271,owner_morg,11,stocks,no
M,23,divorced,highsch,1,unemployed,0,0,0,no,0,tenant,4,derivatives,no
M,75,married,postgrad,1,retired,16,22,59500,yes,56996,owner_morg,10,bonds,no
M,40,single,highsch,0,part_time,5,8,28688,no,0,owner_morg,5,derivatives,yes
F,30,married,univ,0,unemployed,0,4,0,yes,54987,tenant,13,derivatives,no
M,50,single,univ,0,full_time,4,9,92969,no,0,tenant,15,derivatives,yes
M,24,single,univ,0,part_time,0,5,31875,no,0,owner_morg,4,derivatives,yes
F,34,divorced,postgrad,0,full_time,1,5,127500,no,0,owner,13,derivatives,no
F,67,widowed,postgrad,2,retired,25,38,59500,no,0,tenant,15,derivatives,yes
M,59,single,univ,0,full_time,11,27,92969,no,0,owner_morg,12,stocks,no
M,33,married,highsch,1,self_employ,3,9,57375,yes,28753,tenant,9,stocks,no
M,42,divorced,highsch,2,full_time,5,10,47813,no,0,owner,15,bonds,yes
F,27,single,highsch,0,full_time,4,4,31875,no,0,tenant,1,derivatives,no
M,77,divorced,basic,1,unemployed,0,6,0,no,0,owner,10,derivatives,yes
M,47,widowed,univ,2,part_time,3,6,47813,no,0,tenant,3,stocks,no
F,25,single,univ,0,full_time,1,3,53125,no,0,tenant,7,stocks,yes
F,79,single,highsch,0,unemployed,0,16,0,no,0,tenant,6,stocks,no
M,20,married,basic,1,part_time,1,1,12750,yes,46913,tenant,3,derivatives,yes
M,63,single,highsch,0,part_time,11,14,33469,no,0,owner,14,bonds,no
F,27,married,univ,2,full_time,4,4,53125,no,0,owner,2,stocks,no
F,21,single,highsch,0,part_time,2,2,19125,no,0,w_parents,6,bonds,yes
F,44,single,highsch,0,part_time,8,18,28688,no,0,owner,6,bonds,yes
M,31,married,postgrad,2,unemployed,0,2,0,yes,56532,tenant,5,stocks,no
F,25,single,univ,0,full_time,1,5,53125,no,0,owner_morg,8,bonds,yes
F,77,divorced,univ,0,unemployed,0,21,0,no,0,tenant,2,bonds,yes
F,73,widowed,basic,0,unemployed,0,38,0,no,0,tenant,1,bonds,yes
M,33,married,highsch,3,part_time,8,8,28688,no,0,tenant,3,stocks,no
F,35,married,postgrad,1,part_time,5,9,76500,yes,38269,owner_morg,12,bonds,no
F,21,divorced,basic,1,full_time,0,0,21250,no,0,tenant,7,stocks,yes
F,35,single,basic,0,self_employ,6,10,38250,no,0,owner_morg,9,stocks,no
M,21,married,highsch,1,self_employ,0,2,38250,yes,40422,tenant,3,stocks,no
F,45,divorced,postgrad,0,full_time,0,5,127500,no,0,owner,7,stocks,no
M,20,single,highsch,0,full_time,1,1,31875,no,0,owner_morg,8,derivatives,yes
F,33,single,basic,0,unemployed,0,11,0,no,0,tenant,13,stocks,no
M,37,single,basic,0,full_time,3,11,31875,no,0,owner_morg,9,stocks,no
M,33,divorced,postgrad,3,full_time,1,6,127500,no,0,owner_morg,1,derivatives,yes
M,42,single,highsch,0,full_time,12,18,47813,no,0,owner,5,derivatives,yes
F,24,single,basic,0,full_time,3,3,21250,no,0,owner,5,stocks,yes
M,35,single,univ,0,full_time,1,11,79688,no,0,tenant,7,bonds,no
F,33,married,univ,2,part_time,5,8,47813,yes,52681,owner,14,derivatives,yes
M,43,divorced,univ,2,full_time,7,9,79688,no,0,tenant,8,derivatives,yes
F,31,married,highsch,0,part_time,6,10,28688,yes,42176,tenant,1,stocks,no
M,25,divorced,basic,2,part_time,1,1,12750,no,0,tenant,8,bonds,no
F,59,divorced,highsch,2,full_time,4,14,55781,no,0,tenant,3,derivatives,no
F,22,divorced,basic,1,full_time,2,3,21250,no,0,owner,4,bonds,no
M,29,divorced,postgrad,1,full_time,2,6,85000,no,0,tenant,10,bonds,yes
F,25,divorced,univ,2,full_time,0,3,53125,no,0,owner,9,bonds,yes
F,21,single,highsch,0,self_employ,1,2,38250,no,0,owner,5,stocks,yes
M,39,divorced,univ,2,full_time,0,16,79688,no,0,tenant,15,stocks,no
M,21,single,highsch,0,self_employ,1,2,38250,no,0,tenant,3,bonds,no
M,29,divorced,postgrad,1,full_time,3,7,85000,no,0,owner_morg,2,derivatives,yes
F,25,married,basic,3,part_time,0,2,12750,yes,48931,owner_morg,7,bonds,yes
F,24,widowed,highsch,1,full_time,0,2,31875,no,0,owner,8,derivatives,yes
F,25,married,basic,3,self_employ,4,5,25500,yes,35646,tenant,6,stocks,no
F,34,married,postgrad,1,full_time,1,13,127500,yes,44920,owner,4,stocks,no
F,28,single,highsch,0,full_time,4,6,31875,no,0,owner_morg,5,derivatives,no
F,28,single,postgrad,0,full_time,5,6,85000,no,0,tenant,5,bonds,yes
M,33,widowed,postgrad,3,full_time,7,7,127500,no,0,owner,15,derivatives,yes
F,50,divorced,basic,2,self_employ,8,17,44625,no,0,owner,15,derivatives,no
M,20,single,basic,0,full_time,0,1,21250,no,0,w_parents,4,stocks,yes
M,23,single,univ,0,part_time,1,2,31875,no,0,tenant,7,derivatives,no
M,34,married,postgrad,1,unemployed,0,7,0,yes,41517,owner,12,derivatives,yes
F,53,single,postgrad,0,full_time,3,28,148750,no,0,owner_morg,12,bonds,yes
M,31,single,highsch,0,full_time,3,10,47813,no,0,owner,8,derivatives,yes
M,55,divorced,highsch,1,full_time,13,14,55781,no,0,owner,14,stocks,no
F,48,divorced,highsch,1,full_time,6,23,47813,no,0,tenant,7,derivatives,no
M,28,divorced,highsch,2,full_time,2,6,31875,no,0,owner,10,derivatives,yes
M,31,single,basic,0,full_time,6,6,31875,no,0,owner_morg,11,bonds,no
F,46,divorced,highsch,0,full_time,0,18,47813,no,0,owner_morg,11,derivatives,no
F,25,divorced,highsch,3,unemployed,0,2,0,no,0,tenant,6,bonds,yes
F,32,divorced,univ,3,full_time,5,11,79688,no,0,owner,13,bonds,yes
M,42,divorced,highsch,3,full_time,12,18,47813,no,0,tenant,12,bonds,yes
M,36,married,univ,0,self_employ,5,11,95625,yes,28190,owner_morg,1,bonds,no
M,26,married,univ,0,self_employ,3,6,63750,yes,41876,tenant,7,derivatives,yes
M,38,single,highsch,0,full_time,9,13,47813,no,0,owner,5,bonds,no
M,22,divorced,highsch,1,unemployed,0,2,0,no,0,owner_morg,8,bonds,yes
M,31,single,univ,0,part_time,7,10,47813,no,0,tenant,6,stocks,no
F,29,divorced,univ,1,self_employ,4,6,63750,no,0,owner_morg,7,stocks,yes
F,21,widowed,highsch,1,self_employ,2,2,38250,no,0,tenant,5,derivatives,yes
M,68,divorced,basic,3,unemployed,0,3,0,no,0,owner,8,bonds,yes
M,28,single,univ,0,self_employ,3,5,63750,no,0,tenant,2,stocks,yes
M,38,single,highsch,0,full_time,8,8,47813,no,0,owner_morg,9,derivatives,yes
M,25,single,highsch,0,full_time,2,6,31875,no,0,tenant,4,bonds,no
M,28,divorced,highsch,0,part_time,4,6,19125,no,0,owner,1,derivatives,yes
M,49,married,univ,2,full_time,14,14,79688,yes,47784,owner,7,bonds,yes
M,49,married,highsch,2,self_employ,6,17,57375,no,0,tenant,7,derivatives,yes
M,20,widowed,highsch,0,unemployed,0,1,0,no,0,owner,7,derivatives,no
M,57,divorced,univ,0,full_time,2,30,92969,no,0,owner_morg,11,stocks,no
M,48,widowed,postgrad,0,full_time,11,14,127500,no,0,tenant,9,stocks,no
F,25,single,univ,0,full_time,3,5,53125,no,0,tenant,10,bonds,yes
M,34,single,highsch,0,part_time,3,3,28688,no,0,tenant,11,bonds,no
M,54,married,highsch,1,self_employ,11,26,66938,yes,57490,owner_morg,3,derivatives,yes
M,27,single,highsch,0,self_employ,1,1,38250,no,0,tenant,4,stocks,yes
F,33,married,postgrad,1,unemployed,0,4,0,yes,22069,owner_morg,15,derivatives,no
F,41,divorced,highsch,1,part_time,1,6,28688,no,0,tenant,6,derivatives,no
M,24,single,univ,0,part_time,0,2,31875,no,0,owner,3,stocks,yes
M,20,widowed,highsch,0,full_time,0,0,31875,no,0,owner,7,bonds,no
M,70,widowed,basic,1,self_employ,24,39,44625,no,0,tenant,14,stocks,no
M,44,single,basic,0,part_time,7,14,19125,no,0,tenant,8,derivatives,no
F,57,divorced,univ,1,self_employ,1,25,111563,no,0,owner_morg,4,stocks,no
M,33,married,highsch,0,unemployed,0,6,0,yes,43091,owner,12,derivatives,yes
F,56,divorced,highsch,0,part_time,18,21,33469,no,0,tenant,10,bonds,yes
M,26,single,univ,0,self_employ,1,1,63750,no,0,owner,2,stocks,yes
F,59,divorced,highsch,1,full_time,20,32,55781,no,0,tenant,13,stocks,no
F,39,married,highsch,0,full_time,8,15,47813,yes,54439,owner_morg,1,stocks,no
F,53,widowed,highsch,1,full_time,11,13,55781,no,0,tenant,5,derivatives,no
M,28,single,highsch,0,part_time,4,5,19125,no,0,tenant,4,derivatives,yes
F,32,divorced,highsch,0,unemployed,0,11,0,no,0,owner,15,derivatives,no
M,29,single,univ,0,part_time,4,8,31875,no,0,tenant,5,bonds,no
F,38,single,univ,0,self_employ,3,15,95625,no,0,tenant,12,derivatives,no
M,24,widowed,univ,1,full_time,2,4,53125,no,0,tenant,3,derivatives,yes
M,33,single,univ,0,unemployed,0,4,0,no,0,owner_morg,3,stocks,no
F,31,single,highsch,0,self_employ,6,9,57375,no,0,owner,1,derivatives,no
M,21,single,basic,0,self_employ,0,2,25500,no,0,w_parents,5,derivatives,no
F,63,married,univ,1,unemployed,0,28,0,no,0,owner_morg,2,stocks,no
F,26,married,univ,3,self_employ,0,6,63750,yes,61491,owner,10,bonds,yes
F,27,single,highsch,0,full_time,1,3,31875,no,0,tenant,9,derivatives,no
M,54,divorced,basic,2,self_employ,8,26,44625,no,0,tenant,5,derivatives,yes
